Timestamp,Enter your three-letter initials here.,Choose the collector's name and culture that this recording comes from.,"Enter the filenames of all original audio files associated with this subject (i.e., the person whose vocalizations are being recorded).","Are there any additional files associated with this subject? If so, enter their filenames.",What is this subject's unique identifier?,Which of the following samples are present?,Which recording will you be using? (MS or XY),Note any exceptions when choosing MS or XY,What time of day were the samples recorded?,What is the gender of the singer/speaker?,Which of the following roles of the singer/speaker does the researcher indicate?,"Is an infant present, as specified by the researcher?",What is the gender of the infant?,What is the relationship between the subject and the infant?,What is the age of the infant (in months)?,Is the age of the infant estimated by the researcher?,"In general, did you have trouble hearing the subject's vocalizations?",Are there any of the following sounds audible in addition to the subject and the researcher?,How much of an issue was background noise in hearing the subject's vocalizations?,How loud was the subject's vocalization?,Describe any problems with the audio here.,Note any additional information provided by the researcher about these recordings.,"Notes from 2nd coder. Please format notes with the sample name, description of notes, and your personal three letter identifier (e.g. ""WEL01A: Clipped out 1 second at the end to remove researcher's voice. CMB; WEL01C: Removed 2 seconds of silence from the beginning of the clip. CMB"")"
2/9/2018 16:04:02,DWL,Martin - Urban Wellington (New Zealand),"S33_MS.WAV, S33_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL32,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,8,Yes,No,Infant(s),1,4,,"Subject described adult-directed song as ""Madonna's earlier work.""",
2/9/2018 16:11:33,DWL,Martin - Urban Wellington (New Zealand),"S34_MS.WAV, S34_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL33,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Female,Mother of infant,6,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",1,4,,"Subject described adult-directed song as a ""song I'd sing along to on the radio.""",
2/9/2018 16:33:55,DWL,Martin - Urban Wellington (New Zealand),"S35_MS.WAV, S35_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL34,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Not specified,Not specified,8,Yes,No,"Infant(s), Child or children",4,4,Significant mic bumping noise during WEL34D adult-directed speech. ,"For WEL34C adult-direct song, the researcher stated the instructions: ""demonstrate how you would sing to your infant when they're fussy"" but then after the subject finished singing the researcher clarified ""that was a song that she would sing that is not intended for infants."" Subject described WEL34C as a ""jazz song by Frank Sinatra."" Researcher also indicated that a second child, aged 23 months was present in the room.",
2/9/2018 16:45:34,DWL,Martin - Urban Wellington (New Zealand),"S36_MS.WAV, S36_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL35,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Grandmother,Yes,Male,Grandmother of infant,8,Yes,No,"Infant(s), Child or children",1,4,,"Subject describes adult-directed song as a ""worship song.""",
2/9/2018 16:54:20,DWL,Martin - Urban Wellington (New Zealand),"S37_MS.WAV, S37_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL36,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Female,Not specified,6,Yes,No,Infant(s),1,4,,,
2/9/2018 17:09:39,DWL,Martin - Urban Wellington (New Zealand),"S38_MS.WAV, S38_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL37,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,6,Yes,No,Infant(s),1,4,,"Subject described adult-directed song as describing ""hopeful youth."" Sample is in Portuguese.",
2/9/2018 17:21:44,DWL,Martin - Urban Wellington (New Zealand),"S39_MS.WAV, S39_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL38,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Female,Mother,Yes,Male,Mother of infant,17,Yes,No,Infant(s),3,5,,"Subject described adult-directed song as ""happy song.""",WEL38C and WEL49C: had adult-directed songs that were cross-checked to ensure subjects understood they were singing a song for adults. ERA
2/9/2018 17:33:44,DWL,Martin - Urban Wellington (New Zealand),"S40_MS.WAV, S40_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL39,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Female,Not specified,17,Yes,No,Infant(s),1,5,,"Subject described adult-directed song as ""pop song for when you're sad.""",
2/13/2018 13:54:43,DWL,Martin - Urban Wellington (New Zealand),"S41_MS.WAV, S41_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL40,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,16,Yes,No,"Infant(s), Indoor sounds (e.g. running appliances, echoes that indicate a large room)",2,2,,"Subject described adult-directed song as ""rock-song by Imagine Dragons.""",
2/13/2018 14:03:57,DWL,Martin - Urban Wellington (New Zealand),"S42_MS.WAV, S42_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL41,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,15,Yes,No,"Infant(s), Adult(s)",2,4,,"Subject described adult-directed song as a ""ballad.""",
2/13/2018 14:15:26,DWL,Martin - Urban Wellington (New Zealand),"S43_MS.WAV, S43_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL42,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,15,Yes,No,Infant(s),1,4,Infant-directed speech clip is only 9 seconds long because subject was unable to think of other things to say. ,,
2/13/2018 16:26:58,DWL,Martin - Urban Wellington (New Zealand),"S44_MS.WAV, S44_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL43,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,15,Yes,No,Infant(s),1,5,,"Subject described adult-directed song as a ""New-Zealand Classic""",
2/13/2018 16:35:42,DWL,Martin - Urban Wellington (New Zealand),"S45_MS.WAV, S45_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL44,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,14,Yes,No,Infant(s),1,5,,"Subject described adult-directed song as ""pop-song popular in the 80's""",
2/13/2018 16:45:19,DWL,Martin - Urban Wellington (New Zealand),"S46_MS.WAV, S46_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL45,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Male,Mother of infant,6,Yes,No,Infant(s),1,5,,"Subject described adult-directed song as ""joyful.""",
2/13/2018 17:01:08,DWL,Martin - Urban Wellington (New Zealand),"S47_MS.WAV, S47_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL46,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,Parent (gender unspecified),Yes,Male,Parent of infant (gender unspecified),15,Yes,Yes,"Infant(s), Child or children",5,3,The whole recording has loud background vocalizations and play noises from 4 y/o child. ,"Subject described adult-directed song as ""silly and stupid""",
2/14/2018 10:17:40,DWL,Martin - Urban Wellington (New Zealand),"S48_MS.WAV, S48_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL47,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,5,Yes,Yes,"Infant(s), Child or children, Adult(s), Indoor sounds (e.g. running appliances, echoes that indicate a large room)",5,1,"All four samples have severe interfering noises from multiple children talking while playing with toys, at least one additional adult present that was talking to the children, and the subject often laughed or trailed off in the middle of the samples. ","Subject described adult-directed song as ""Christmas song.""",
2/14/2018 10:29:14,DWL,Martin - Urban Wellington (New Zealand),"S49_MS.WAV, S49_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL48,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,5,Yes,No,Infant(s),2,3,,"Subject described adult-directed song as ""powerful""",
2/14/2018 10:39:27,DWL,Martin - Urban Wellington (New Zealand),"S50_MS.WAV, S50_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL49,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,14,Yes,No,"Infant(s), Indoor sounds (e.g. running appliances, echoes that indicate a large room)",3,3,,Samples are in Dutch. Subject describes adult-directed song as Flemish children's song. Researcher indicated that adult-directed song seemed to be directed toward infant.,WEL38C and WEL49C: had adult-directed songs that were cross-checked to ensure subjects understood they were singing a song for adults. ERA
2/14/2018 10:55:10,DWL,Martin - Urban Wellington (New Zealand),"S51_MS.WAV, S51_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL50,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,14,Yes,No,Infant(s),2,4,,"Subject described adult-directed song as ""happy""",
2/14/2018 11:04:10,DWL,Martin - Urban Wellington (New Zealand),"S52_MS.WAV, S52_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL51,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Male,,Yes,Male,Not specified,14,Yes,No,"Infant(s), Adult(s)",2,5,,"Subjected described adult-directed song as ""mixed up Christmas carol""",
2/14/2018 11:20:13,DWL,Martin - Urban Wellington (New Zealand),"S53_MS.WAV, S53_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL52,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,15,Yes,No,Infant(s),1,3,,Sample is in Russian. Subject described adult-directed song as motivational rock song.,
2/14/2018 11:28:31,DWL,Martin - Urban Wellington (New Zealand),"S54_MS.WAV, S54_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL53,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Female,Mother of infant,8,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,1,,Subject described adult-directed song as happy Christmas song,"WEL53C: had the researcher's voice in the end, which I cut out. ERA"
2/14/2018 11:36:54,DWL,Martin - Urban Wellington (New Zealand),"S55_MS.WAV, S55_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL54,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Female,Mother,Yes,Female,Mother of infant,5,Yes,No,Infant(s),1,3,,"Subject described adult-directed song as ""slightly melancholy""",
2/14/2018 11:44:22,DWL,Martin - Urban Wellington (New Zealand),"S56_MS.WAV, S56_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL55,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,14,Yes,No,"Infant(s), Adult(s)",2,3,,,
2/14/2018 12:06:53,DWL,Martin - Urban Wellington (New Zealand),"S57_MS.WAV, S57_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL56,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,14,Yes,No,"Infant(s), Infant makes a clapping noise",4,4,Infant begins to make loud clapping noises during WEL56B infant-directed speech that persists during both adult-directed samples. Clapping is very loud.,Subject describes adult-directed song as a Christmas carol,
2/14/2018 12:13:01,DWL,Martin - Urban Wellington (New Zealand),"S58_MS.WAV, S58_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL57,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,14,Yes,No,Infant(s),2,5,,Subject described adult-directed song as happy Christmas song,
1/31/2018 11:25:05,HLR,Placek - Jenu Kurubas (India),"JK001MS.WAV, JK001XY.WAV",,JEN01,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Not specified,Not specified,30,No,No,"Indoor sounds (e.g. running appliances, echoes that indicate a large room)",1,3,,,
1/31/2018 11:55:57,HLR,Placek - Jenu Kurubas (India),"JK003MS.WAV, JK003XY.WAV",,JEN02,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,24,No,No,"Outdoor sounds (e.g. birds, trees rustling)",1,4,,"Adult-directed song is a ""song for God.""",
1/31/2018 12:52:08,HLR,Placek - Jenu Kurubas (India),"JK006MS.WAV, JK006XY.WAV",,JEN03,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Female,Mother,Yes,Not specified,Mother of infant,,No age was specified,No,"Outdoor sounds (e.g. birds, trees rustling), loud crackling (paper?)",2,1,,"Adult-directed song is a ""song for God.""",JEN03A: 0:00.000-0:20.615 cut out to have a sample without a long pause in the middle. Kept longer of the two chunks of singing. CMB; JEN03D: 0:05.043-0:25.909 cut out because of huge pauses and sparse samples. Kept longest consistent speech sample. CMB
1/31/2018 13:11:33,HLR,Placek - Jenu Kurubas (India),"JK007MS.WAV, JK007XY.WAV",,JEN04,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Not specified,Not specified,12,No,No,"Infant(s), Indoor sounds (e.g. running appliances, echoes that indicate a large room)",1,1,,"Adult-directed song is a ""song for God.""",
2/6/2018 14:46:16,HLR,Placek - Jenu Kurubas (India),"JK008MS.WAV, JK008XY.WAV",,JEN05,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Not specified,Not specified,1,No,No,"Outdoor sounds (e.g. birds, trees rustling)",2,2,The infant-directed speech was very quiet,,
2/6/2018 15:00:06,HLR,Placek - Jenu Kurubas (India),"JK009MS.WAV, JK009XY.WAV",,JEN06,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Not specified,Not specified,5,No,No,"Indoor sounds (e.g. running appliances, echoes that indicate a large room)",1,2,,Adult-directed song is a song for Ganesh. Subject also sang a song from a movie which I didn't clip.,
2/7/2018 12:47:34,HLR,Placek - Jenu Kurubas (India),"JK010MS.WAV, JK010XY.WAV",,JEN07,"Infant-directed song, Infant-directed speech",MS,,,Not specified,,Yes,Not specified,Not specified,21,No,No,"Infant(s), Child or children, Adult(s), Outdoor sounds (e.g. birds, trees rustling)",3,2,,,JEN07B: 0:17.167-0:17.843 laughter cut out at end. CMB
2/7/2018 13:02:10,HLR,Placek - Jenu Kurubas (India),"JK011MS.WAV, JK011XY.WAV",,JEN08,"Infant-directed song, Infant-directed speech",XY,,,Not specified,,Yes,Not specified,Not specified,3,No,No,"Child or children, Outdoor sounds (e.g. birds, trees rustling)",2,2,,,
2/9/2018 14:02:21,HLR,Placek - Jenu Kurubas (India),"JK012MS.WAV, JK012XY.WAV",,JEN09,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Female,Grandmother,Yes,Not specified,Grandmother of infant,12,No,No,"Infant(s), Adult(s), Outdoor sounds (e.g. birds, trees rustling), rattling bracelet?",2,5,,,
2/13/2018 14:37:19,HLR,Placek - Jenu Kurubas (India),"JK013MS.WAV, JK013XY.WAV",,JEN10,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,Mother,Yes,Not specified,Mother of infant,16,No,No,"Child or children, Outdoor sounds (e.g. birds, trees rustling), Indoor sounds (e.g. running appliances, echoes that indicate a large room)",2,4,,"AD-song is a song for god. AD-speech is ""a story""",
2/13/2018 14:50:57,HLR,Placek - Jenu Kurubas (India),"JK014_pt1MS.WAV, JK014_pt1XY.WAV, JK014_pt2MS.WAV, JK014_pt2XY.WAV",,JEN11,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Female,Sister,Yes,Not specified,Sister of infant,14,No,Yes,"Infant(s), Adult(s)",4,5,"very loud baby, clipping","Sister came in and started singing. I'm pretty sure the examples of IDS/ADS are all from the sister, but it could be worth double checking with the researcher.",
2/14/2018 12:58:27,HLR,Placek - Jenu Kurubas (India),"JK015_pt1MS.WAV, JK015_pt1XY.WAV, JK015_pt2MS.WAV, JK015_pt2XY.WAV, JK015_pt3MS.WAV, JK015_pt3XY.WAV",,JEN12,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Not specified,Not specified,15,No,Yes,"Infant(s), Adult(s)",2,3,Baby crying throughout ID-speech,,
2/5/2018 14:19:54,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S01_14mMS.WAV, S01_14mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR01,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,14,No,No,Infant(s),2,4,Adult-directed speech was clipped at the end of a sentence to avoid infant interruption halfway through the following sentence.,,
2/5/2018 16:17:56,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S02_8mMS.WAV, S02_8mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR02,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,8,No,No,"Infant(s), Cellphone",2,4,,,
2/5/2018 16:29:02,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S03_9mMS.WAV, S03_9mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR03,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,9,No,No,"Infant(s), Indoor sounds (e.g. running appliances, echoes that indicate a large room)",2,4,Adult-directed song partially whispered,,
2/5/2018 16:42:17,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S04_9mMS.WAV, S04_9mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR04,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,9,No,No,"Infant(s), Adult(s)",2,4,,Adult-directed song is not in English; the rest of the samples are in English,
2/5/2018 17:40:36,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S05_9mMS.WAV, S05_9mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR05,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,9,No,No,"Infant(s), Toys",3,3,Infant-directed speech very quiet,,
2/5/2018 17:59:44,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S06_10mMS.WAV, S06_10mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR06,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,10,No,No,Infant(s),2,4,Audio clipped avoiding especially loud infant sounds,,
2/6/2018 12:23:56,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S07_14mMS.WAV, S07_14mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR07,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,14,No,No,Infant(s),2,4,"Adult-directed speech has a little bit of researcher laughter, but barely audible under subject's laughter.",,
2/6/2018 12:34:36,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S08_10mMS.WAV, S08_10mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR08,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,10,No,No,"Infant(s), Toys",2,4,,4 year old boy also present,
2/6/2018 12:46:54,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S09_8mMSnotodatabase.WAV, S09_8mXYnotodatabase.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR09,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,8,No,No,Infant(s),2,4,,"Filename different format from the rest: ""notodatabase"" added?",
2/6/2018 13:04:31,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S10_8mMS.WAV, S10_8mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR10,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,8,No,No,Infant(s),2,4,"Adult-directed song: choose second try (researcher had them redo since they sang looking at the infant the first time). Second try was the quieter/less clear sample, though.",,
2/6/2018 14:13:16,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S11_8mMS.WAV, S11_8mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR11,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,8,No,No,Infant(s),2,4,,,
2/6/2018 15:16:07,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S12_8mMS.WAV, S12_8mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR12,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,8,No,No,Infant(s),2,4,"Infant and adult directed songs are the same song: ""Happy Birthday."" Researcher phrased adult-directed song as if seeking the same song but with different intent.",,
2/6/2018 15:27:49,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S13_8mMS.wav, S13_8mXY.wav",SM_IDSstudy_ParticipantInfo.xlsx,TOR13,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Female,Not specified,8,No,No,Infant(s),2,4,,,
2/6/2018 15:40:47,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S14_4mMS.WAV, S14_4mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR14,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,4,No,No,Infant(s),2,4,"Subject says they usually just sing to the infant when fussy, not speak",,
2/6/2018 15:54:35,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S15_8mMS.WAV, S15_8mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR15,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,8,No,No,Infant(s),2,4,,,
2/6/2018 16:21:43,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S16_8mMS.WAV, S16_8mXY.WAV",SM_IDSstudy_ParticipantInfo,TOR16,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Female,Not specified,8,No,Yes,Infant(s),2,3,The infant-directed speech is quiet,,"TOR16A: (infant-directed song) is Britney Spears' ""Baby one more time."" ERA"
2/6/2018 16:44:31,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S17_8mMS.WAV, S17_8mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR17,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,8,No,No,Infant(s),2,4,,,
2/6/2018 17:11:11,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S18_9mMS.WAV, S18_9mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR18,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,9,No,No,Infant(s),1,4,Some mic-bumping sounds. Adult-directed speech gets directed towards infant towards end.,,
2/6/2018 17:19:42,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S19_8mMS.WAV, S19_8mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR19,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Female,Not specified,8,No,No,Infant(s),2,4,,,
2/6/2018 17:33:35,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S20_8mMS.WAV, S20_8mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR20,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,8,No,No,Infant(s),2,4,,,
2/6/2018 17:47:04,CMB,Trehub & Cirelli - Urban Toronto (Canada),"S21_14mMS.WAV, S21_14mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR21,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,14,No,No,Infant(s),2,4,Infant-directed speech is quiet,,"TOR21C: (adult-directed song) is ""You are my sunshine"", which many other respondents sang as infant-directed song. ERA"
2/20/2018 11:49:55,DWL,Trehub & Cirelli - Urban Toronto (Canada),"S22_7mMS.WAV, S22_7mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR22,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,Parent (gender unspecified),Yes,Male,Parent of infant (gender unspecified),7,Yes,No,Infant(s),1,4,adult-directed speech was cut short because researcher asked follow-up question in the middle of the sample,,
2/20/2018 12:00:43,DWL,Trehub & Cirelli - Urban Toronto (Canada),"S23_7mMS.WAV, S23_7mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR23,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,7,Yes,No,"Infant(s), Child or children",3,3,,,
2/20/2018 12:08:57,DWL,Trehub & Cirelli - Urban Toronto (Canada),"S24_6mMS.WAV, S24_6mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR24,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Female,Mother of infant,6,Yes,No,Infant(s),1,2,,,
2/20/2018 12:29:31,DWL,Trehub & Cirelli - Urban Toronto (Canada),"S25_8mMS.WAV, S25_8mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR25,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,8,Yes,No,Infant(s),1,2,,,
2/20/2018 12:51:26,DWL,Trehub & Cirelli - Urban Toronto (Canada),"S26_7mMS.WAV, S26_7mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR26,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,7,Yes,No,Infant(s),2,1,Adult-directed song is very quiet. Adult-directed speech was cut short due to researcher laughter,,
2/20/2018 13:06:58,DWL,Trehub & Cirelli - Urban Toronto (Canada),"S27_7mMS.wav, S27_7mXY.wav",SM_IDSstudy_ParticipantInfo.xlsx,TOR27,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Female,Mother,Yes,Female,Mother of infant,7,Yes,No,Infant(s),2,1,Adult-directed song was very quiet.,,
2/20/2018 13:15:42,DWL,Trehub & Cirelli - Urban Toronto (Canada),"S28_6mMS.WAV, S28_6mXY.WAV",SM_IDSstudy_ParticipantInfo.xlsx,TOR28,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,6,Yes,No,"Infant(s), Adult(s)",2,2,Adult-directed was cut short because infant was fussy and subject started directing speech toward infant.,,"TOR28D: had the researcher's voice in the end, which I cut out. ERA"
